OBJECTID,pointid,grid_code,POINT_X,POINT_Y
1,1,154,-84.76188655,31.19301564
2,2,154,-84.76186102,31.19301564
3,3,154,-84.76183549,31.19301564
4,4,154,-84.76180996,31.19301564
5,5,154,-84.76178443,31.19301564
6,6,154,-84.76175889,31.19301564
7,7,154,-84.76173336,31.19301564
8,8,155,-84.76221846,31.1929901
9,9,155,-84.76219293,31.1929901
10,10,155,-84.7621674,31.1929901
11,11,155,-84.76214187,31.1929901
12,12,155,-84.76211634,31.1929901
13,13,154,-84.76209081,31.1929901
14,14,154,-84.76206527,31.1929901
15,15,154,-84.76203974,31.1929901
16,16,154,-84.76201421,31.1929901
17,17,154,-84.76198868,31.1929901
18,18,154,-84.76196315,31.1929901
19,19,154,-84.76193762,31.1929901
20,20,154,-84.76191208,31.1929901
21,21,154,-84.76188655,31.1929901
22,22,154,-84.76186102,31.1929901
23,23,154,-84.76183549,31.1929901
24,24,154,-84.76180996,31.1929901
25,25,154,-84.76178443,31.1929901
26,26,154,-84.76175889,31.1929901
27,27,154,-84.76173336,31.1929901
28,28,154,-84.76170783,31.1929901
29,29,154,-84.7616823,31.1929901
30,30,154,-84.76165677,31.1929901
31,31,154,-84.76163124,31.1929901
32,32,154,-84.7616057,31.1929901
33,33,154,-84.76158017,31.1929901
34,34,155,-84.76234612,31.19296457
35,35,155,-84.76232059,31.19296457
36,36,155,-84.76229506,31.19296457
37,37,155,-84.76226953,31.19296457
38,38,155,-84.76224399,31.19296457
39,39,155,-84.76221846,31.19296457
40,40,155,-84.76219293,31.19296457
41,41,155,-84.7621674,31.19296457
42,42,155,-84.76214187,31.19296457
43,43,155,-84.76211634,31.19296457
44,44,155,-84.76209081,31.19296457
45,45,155,-84.76206527,31.19296457
46,46,154,-84.76203974,31.19296457
47,47,154,-84.76201421,31.19296457
48,48,154,-84.76198868,31.19296457
49,49,154,-84.76196315,31.19296457
50,50,154,-84.76193762,31.19296457
51,51,154,-84.76191208,31.19296457
52,52,154,-84.76188655,31.19296457
53,53,154,-84.76186102,31.19296457
54,54,154,-84.76183549,31.19296457
55,55,154,-84.76180996,31.19296457
56,56,154,-84.76178443,31.19296457
57,57,154,-84.76175889,31.19296457
58,58,154,-84.76173336,31.19296457
59,59,154,-84.76170783,31.19296457
60,60,154,-84.7616823,31.19296457
61,61,154,-84.76165677,31.19296457
62,62,154,-84.76163124,31.19296457
63,63,154,-84.7616057,31.19296457
64,64,154,-84.76158017,31.19296457
65,65,154,-84.76155464,31.19296457
66,66,154,-84.76152911,31.19296457
67,67,154,-84.76150358,31.19296457
68,68,154,-84.76147805,31.19296457
69,69,154,-84.76145251,31.19296457
70,70,154,-84.76142698,31.19296457
71,71,155,-84.76043125,31.19296457
72,72,155,-84.76040572,31.19296457
73,73,155,-84.76038018,31.19296457
74,74,155,-84.76035465,31.19296457
75,75,155,-84.76032912,31.19296457
76,76,155,-84.76030359,31.19296457
77,77,155,-84.76027806,31.19296457
78,78,155,-84.76025253,31.19296457
79,79,155,-84.760227,31.19296457
80,80,155,-84.76020146,31.19296457
81,81,155,-84.76017593,31.19296457
82,82,155,-84.7601504,31.19296457
83,83,155,-84.76012487,31.19296457
84,84,155,-84.76244825,31.19293904
85,85,155,-84.76242272,31.19293904
86,86,155,-84.76239718,31.19293904
87,87,155,-84.76237165,31.19293904
88,88,155,-84.76234612,31.19293904
89,89,155,-84.76232059,31.19293904
90,90,155,-84.76229506,31.19293904
91,91,155,-84.76226953,31.19293904
92,92,155,-84.76224399,31.19293904
93,93,155,-84.76221846,31.19293904
94,94,155,-84.76219293,31.19293904
95,95,155,-84.7621674,31.19293904
96,96,155,-84.76214187,31.19293904
97,97,155,-84.76211634,31.19293904
98,98,155,-84.76209081,31.19293904
99,99,155,-84.76206527,31.19293904
100,100,155,-84.76203974,31.19293904
101,101,155,-84.76201421,31.19293904
102,102,155,-84.76198868,31.19293904
103,103,154,-84.76196315,31.19293904
104,104,154,-84.76193762,31.19293904
105,105,154,-84.76191208,31.19293904
106,106,154,-84.76188655,31.19293904
107,107,154,-84.76186102,31.19293904
108,108,154,-84.76183549,31.19293904
109,109,154,-84.76180996,31.19293904
110,110,154,-84.76178443,31.19293904
111,111,154,-84.76175889,31.19293904
112,112,154,-84.76173336,31.19293904
113,113,154,-84.76170783,31.19293904
114,114,154,-84.7616823,31.19293904
115,115,154,-84.76165677,31.19293904
116,116,154,-84.76163124,31.19293904
117,117,154,-84.7616057,31.19293904
118,118,154,-84.76158017,31.19293904
119,119,154,-84.76155464,31.19293904
120,120,154,-84.76152911,31.19293904
121,121,154,-84.76150358,31.19293904
122,122,154,-84.76147805,31.19293904
123,123,154,-84.76145251,31.19293904
