FID,F1,F2,F3,F4,F5,ID
0,-84.761887,31.184496,10.3,15.9,56.28,13
1,-84.76191,31.184556,9.3,15.7,56.557,15
2,-84.761918,31.184575,8.5,15.4,56.635,16
3,-84.761926,31.184595,7.5,14.6,56.676,17
4,-84.761935,31.184615,6.7,13.1,56.746,18
5,-84.761943,31.184635,6.3,10.8,56.796,19
6,-84.761953,31.184654,6.8,10,56.77,20
7,-84.761961,31.184673,6.2,9.5,56.829,21
8,-84.761968,31.184694,7.6,11.4,56.901,22
9,-84.761976,31.184714,7.3,10.4,56.942,23
10,-84.761983,31.184734,7.2,12,56.959,24
11,-84.761991,31.184755,6,11.3,56.991,25
12,-84.761999,31.184776,6.3,10.5,57.053,26
13,-84.762006,31.184797,5.3,9.7,57.111,27
14,-84.762014,31.184819,4.8,8.9,57.137,28
15,-84.762021,31.18484,5.1,9.8,57.165,29
16,-84.762028,31.184862,5.8,11.4,57.183,30
17,-84.762036,31.184883,5.4,11.8,57.203,31
18,-84.762044,31.184904,5.2,12,57.15,32
19,-84.762051,31.184926,5.2,10.5,57.145,33
20,-84.762058,31.184947,5.4,11.6,57.133,34
21,-84.762066,31.184968,5.7,10.7,57.14,35
22,-84.762073,31.18499,5.9,10.1,57.109,36
23,-84.762081,31.185011,4.9,9.8,57.06,37
24,-84.762089,31.185032,4.8,9.3,57.064,38
25,-84.762096,31.185053,5.4,9.1,57.045,39
26,-84.762103,31.185074,5.3,7.7,57.011,40
27,-84.762111,31.185095,5.4,8.4,56.982,41
28,-84.762118,31.185117,4.9,7.8,56.96,42
29,-84.762127,31.18514,5.4,7.5,56.937,43
30,-84.762135,31.185165,5.2,7,56.904,44
31,-84.762144,31.18519,6.3,8.4,56.863,45
32,-84.762152,31.185215,5.8,8.4,56.826,46
33,-84.76216,31.18524,5.4,7.2,56.835,47
34,-84.762168,31.185264,5.2,7.2,56.851,48
35,-84.762176,31.185288,4,6.9,56.87,49
36,-84.762184,31.185313,3.8,7.2,56.902,50
37,-84.762194,31.185337,3.7,8,56.947,51
38,-84.762202,31.185362,3.5,7.9,56.935,52
39,-84.762211,31.185387,3.3,8.7,56.969,53
40,-84.76222,31.185412,3.5,9.8,56.959,54
41,-84.762228,31.185437,3.7,9.1,56.966,55
42,-84.762237,31.185461,3.5,9.2,56.929,56
43,-84.762246,31.185486,4,9.7,56.935,57
44,-84.762254,31.185511,3.5,9.5,56.883,58
45,-84.762263,31.185536,3.9,10.2,56.862,59
46,-84.762272,31.18556,3.7,9.2,56.851,60
47,-84.76228,31.185585,3.6,8.7,56.834,61
48,-84.762289,31.18561,3.4,7.5,56.806,62
49,-84.762299,31.185634,3.6,7.4,56.79,63
50,-84.762307,31.18566,3.6,8.1,56.762,64
51,-84.762316,31.185684,2.9,7.8,56.746,65
52,-84.762325,31.185709,3.6,6.7,56.726,66
53,-84.762334,31.185734,3.2,6.7,56.684,67
54,-84.762342,31.185759,3.3,7.1,56.626,68
55,-84.762351,31.185783,3.4,7,56.595,69
56,-84.76236,31.185808,2.9,6.4,56.57,70
57,-84.762369,31.185833,2.4,6.5,56.551,71
58,-84.762377,31.185858,3,6.5,56.523,72
59,-84.762386,31.185882,2.6,6.5,56.501,73
60,-84.762394,31.185907,2.7,6.2,56.488,74
61,-84.762403,31.185932,2.4,6.3,56.479,75
62,-84.762411,31.185957,2.9,6.3,56.461,76
63,-84.76242,31.185982,3.1,6.6,56.436,77
64,-84.762429,31.186007,3.6,6.7,56.395,78
65,-84.762439,31.186032,3.6,6.5,56.394,79
66,-84.762447,31.186056,3.1,6.3,56.347,80
