Longitude,Latitude,Deep Eca,Shallow Eca,Elevation (m)
-84.562646,31.466372,9,2.4,66.505
-84.562645,31.466368,9.6,2.5,66.305
-84.562643,31.46636,9.3,2.7,66.235
-84.562638,31.466347,9.4,3.3,66.25
-84.562633,31.466333,9.6,3.5,66.27
-84.562626,31.466317,10,4.1,66.34
-84.562618,31.466298,10.5,3.9,66.455
-84.56261,31.466278,13,4,66.58
-84.562602,31.466258,12.8,4.2,66.69
-84.562594,31.466237,11.8,4,66.765
-84.562585,31.466216,10.6,3.7,66.785
-84.562576,31.466195,11.8,3.6,66.785
-84.562568,31.466175,12.8,4.5,66.8
-84.562559,31.466153,12.4,4.6,66.83
-84.562551,31.46613,13.8,4.8,66.865
-84.562541,31.466107,16.1,5.1,66.89
-84.562531,31.466083,16.2,5.5,66.935
-84.562521,31.466058,15.7,6,66.97
-84.562511,31.466032,15.9,5.7,66.94
-84.5625,31.466008,18.7,6,66.89
-84.562489,31.465983,20.3,7.2,66.855
-84.562478,31.465958,20.4,8.2,66.845
-84.562468,31.465933,20.4,8.5,66.84
-84.562459,31.465908,18.4,6.4,66.8
-84.562449,31.465883,16.5,6.3,66.745
-84.56244,31.465858,17.6,6,66.72
-84.56243,31.465833,17,5.8,66.735
-84.562421,31.465807,17.2,6.2,66.75
-84.562411,31.465783,17.6,6.3,66.82
-84.562402,31.465758,15.7,5.8,66.965
-84.562392,31.465734,19.4,8,67.05
-84.562382,31.465709,18.7,7.3,67.08
-84.562372,31.465684,17.5,6.7,67.145
-84.562364,31.46566,18.7,7.4,67.24
-84.562355,31.465635,20.6,7.1,67.325
-84.562347,31.46561,17.3,6.1,67.345
-84.562338,31.465586,17.2,4.8,67.325
-84.562329,31.465561,16.1,4.3,67.34
-84.562319,31.465536,17.1,3.9,67.365
-84.562308,31.465512,15.1,4.1,67.37
-84.562298,31.465489,16,4.2,67.31
-84.56229,31.465466,16.4,4.8,67.215
-84.562282,31.465445,15.3,4.8,67.24
-84.562273,31.465423,14.1,4.5,67.285
-84.562263,31.465399,13.3,4.9,67.29
-84.562252,31.465375,17.8,5.3,67.4
-84.562242,31.465351,13.6,5.1,67.485
-84.562234,31.465327,13.9,5.6,67.515
-84.562225,31.465303,19,7.5,67.52
-84.562216,31.465277,17.7,6.7,67.475
-84.562205,31.465253,18.4,6,67.505
-84.562195,31.465229,18.7,6.6,67.53
-84.562188,31.465203,20.6,7.1,67.52
-84.56218,31.465178,21.1,7.7,67.535
-84.562171,31.465153,16.6,7.9,67.595
-84.562161,31.465129,22.8,7.9,67.685
-84.562151,31.465105,20.9,7.1,67.755
-84.562142,31.465081,22.1,8.5,67.84
-84.562131,31.465056,24.8,9,67.935
-84.562121,31.465031,24.8,9.1,68
-84.562111,31.465006,34.7,11.7,68.025
-84.562101,31.464982,35.6,11.7,68.04
-84.56209,31.464957,34.9,12.1,68.055
-84.56208,31.464933,35,14.1,68.075
-84.56207,31.464908,36.6,15.1,68.09
-84.562059,31.464884,34.2,16.7,68.075
-84.562049,31.464859,40.7,15.9,68.03
-84.562039,31.464834,41.7,16.9,67.985
-84.56203,31.464809,30.3,14.1,67.96
-84.562019,31.464784,31.3,12.1,67.925
-84.562009,31.464759,26.5,9.3,67.875
-84.561998,31.464734,23,7.1,67.8
-84.561988,31.464708,22.1,6.1,67.72
-84.561979,31.464683,19.1,5.6,67.685
-84.561969,31.464657,19.9,5.3,67.65
-84.561959,31.464631,18.5,5.5,67.58
-84.56195,31.464606,17,5.5,67.5
-84.561942,31.46458,16.5,5.5,67.43
-84.561933,31.464555,15.5,5.2,67.39
-84.561923,31.46453,15.7,5.1,67.35
-84.561914,31.464505,17.2,5.4,67.325
-84.561905,31.464479,16.9,5.4,67.335
-84.561896,31.464454,16.3,5.8,67.325
-84.561885,31.464429,17.9,6.2,67.28
-84.561875,31.464403,19.2,6.7,67.24
-84.561865,31.464378,22.8,6.8,67.21
-84.561856,31.464352,22.8,6.7,67.155
-84.561848,31.464327,21,6.6,67.115
-84.561839,31.464301,23.5,6.4,67.095
-84.56183,31.464277,21.5,6.6,67.07
-84.561821,31.464255,18.3,6.8,67.11
-84.561812,31.464234,23.5,7.1,67.16
-84.561805,31.464213,19.8,6.3,67.105
-84.561798,31.464194,23,6.4,67.055
-84.561793,31.464177,23.2,6.3,67.11
-84.561788,31.46416,25,6.2,67.14
-84.561783,31.464146,22.5,5.9,67.07
-84.561779,31.464134,20.3,5.9,66.985
-84.561773,31.464123,0.9,2.8,67
-84.561524,31.463967,19.9,4.4,65.685
-84.561529,31.463977,25.3,5.2,65.565
-84.561536,31.463986,18.9,4.7,65.525
-84.561544,31.463998,18.1,5.5,65.59
-84.561552,31.464013,22.5,7,65.705
-84.561561,31.46403,24.5,7.8,65.83
-84.561569,31.464048,24.8,7.5,65.955
-84.561576,31.464068,23.4,8.2,66.08
-84.561584,31.464087,23.5,7.7,66.195
-84.561592,31.464107,21.3,7.7,66.275
-84.5616,31.464128,22.7,7.9,66.32
-84.561609,31.464149,29.1,10.1,66.355
-84.561618,31.464172,27.9,11.3,66.375
-84.561627,31.464196,28.9,10.8,66.395
-84.561636,31.46422,32.5,11.4,66.45
-84.561645,31.464244,32.3,10.5,66.53
-84.561653,31.464268,30.3,9.6,66.59
-84.561661,31.464292,31.8,9.7,66.64
-84.56167,31.464316,27.3,8.9,66.665
-84.561681,31.464339,27.1,7.4,66.665
-84.561691,31.464362,19.5,7.4,66.7
-84.561702,31.464386,14.8,6.3,66.785
-84.561712,31.46441,16.1,6,66.91
